evolution$generation,nwCorrelation,sigmaDiscipline,alphaPreference,entryCostHierarchy,betaDC,depth,interdisciplinarity,evolution$samples
1000,0.7507312097918251,0.01,0.0,2.205342936973089,5.0,-0.03784915379886843,-1.8854416254252178,89
1000,0.4890904541301012,0.01,0.7661984197374583,3.7390760455040715,0.03649157312043706,-0.0021452703946890613,-1.9922893900817087,1
1000,0.9216191141004502,0.01,0.0,4.91033517761495,5.0,-0.09427987917922542,-1.7291677710816964,1
1000,1.0,0.01,0.0,4.909306651791684,4.999999999999999,-0.05931699037270362,-1.833611425322455,2
1000,0.6704725448787443,0.01,4.174092901181873,4.389124601681261,2.741807423041408,-0.022251237292507314,-1.939436616455141,3
1000,0.38237233048575936,0.01,5.0,0.0,5.0,-0.006522795512604292,-1.9789159350780663,4
1000,0.7190653300125192,0.01,3.1903189022262572,4.927977839646097,3.465151063377413,-0.021256069277673092,-1.9374151945418987,5
1000,0.2695281560574035,0.01,0.7398633120426557,4.515211301148177,0.0,-0.011761242116570203,-1.9636584227139586,6
1000,0.11196350817365092,0.01,5.0,1.090673523765243,2.110631350226128,-0.015068926205755388,-1.9535824066100278,7
1000,0.30378947574063553,0.01,1.37294097528841,1.6207267517816843,4.574698248839107,-0.023986684657232218,-1.9297113611194243,11
1000,0.09800383546800784,0.01,3.4967514221356155,4.4364593221897675,5.0,-0.030833501152542776,-1.9065568792834182,9
1000,1.0,0.01,0.0,4.853466387543976,5.0,-0.053000120830359765,-1.8446409579189273,8
1000,0.8156852250126407,0.01,0.0,4.919431812483201,5.0,-0.07318123556257028,-1.803293377103499,1
1000,0.7612748230001197,0.01,5.0,0.5279065238647072,3.091799642946547,-0.01459944179572987,-1.9545755194667707,13
1000,0.8430746459091323,0.01,0.6991681129845693,2.4017404214981033,5.0,-0.02847811522281242,-1.9122064134044126,18
1000,1.0,0.01,0.06597705318760193,5.0,5.0,-0.06437038991134389,-1.8197097618981788,1
1000,1.0,0.01,0.0,4.063374476349139,5.0,-0.049433523211002126,-1.8588478238562876,14
1000,0.988883331872322,0.010209953230907051,4.017151902796781,5.0,2.7676456690137923,-0.025939489147549663,-1.9206629962345745,25
1000,0.7132808454173059,0.01,0.0,5.0,5.0,-0.06951271589685167,-1.806188155263986,1
1000,0.9917049910727671,0.01,2.1222049530921154,3.9734151500877535,4.9916135242626405,-0.037234848213617534,-1.8913994310151314,16
1000,0.7268865963103339,0.01,0.06391719523391133,5.0,4.909644635398431,-0.04881927541661205,-1.852520058188926,15
1000,0.33423859145177126,0.01,5.0,4.367421550649626,1.931867488623919,-0.021052107993870833,-1.9385693899751764,20
1000,0.15445140011046482,0.01,0.10906219368338774,3.9776227198954044,4.944447349114854,-0.038903856194302824,-1.8780322625983903,22
1000,0.7178162889949966,0.01,0.17115573900859907,4.855078275766651,4.708791481537961,-0.043592845611487865,-1.8698296886039545,30
1000,0.6880998742848147,0.010000262976276021,0.0,4.842132134823103,4.970933177248219,-0.0671506049185924,-1.8184279069593705,1
1000,0.6959835849839462,0.01,0.0,4.842456924006902,4.325199750071028,-0.062402139753875464,-1.8291027841041507,4
1000,0.18701121061833428,0.01,0.0,4.220311529860044,5.0,-0.06733490245899845,-1.811626705438513,1
1000,0.8899506348428841,0.01,0.001485900328026711,4.52814558673807,5.0,-0.06735516815403704,-1.8109323821277914,1
1000,0.36488871554543,0.01,4.1012951033257234,4.385168827049765,3.0119263439796566,-0.02468155544599677,-1.926394355497537,42
1000,0.5931702729008921,0.0100003898403468,0.0634797129322181,4.464545224417198,4.92779531518728,-0.05736652563087295,-1.839337851887229,1
1000,0.5787005261873682,0.01,0.0,4.242938078518278,4.973292781731253,-0.05060603679529087,-1.8442745082509637,11
1000,0.7490345129919097,0.01,0.1284295529507834,4.6394851404831785,5.0,-0.05204715424768798,-1.8450676841450957,4
1000,0.09015204701323785,0.01,4.9576322625719325,1.1390340705981192,0.8098997023399694,-0.011149645882201452,-1.9662937736119206,27
1000,0.1976779991247458,0.01,1.9173297892933927,0.9227728066122043,4.9390888726113795,-0.018781775416439536,-1.9441556138036094,45
1000,0.6438721737793806,0.010000030463928115,0.1889081292543385,4.987356203587884,4.723760270691706,-0.06678901687640312,-1.8036423735755447,2
