evolution$generation,nwCorrelation,sigmaDiscipline,alphaPreference,entryCostHierarchy,betaDC,depth,interdisciplinarity,evolution$samples
5000,0.0420786332470719,0.01,1.2731015906528942,0.07980648335554166,1.2454351409262672,-0.002800004270501909,-1.9902744210376866,1
5000,0.7425639792189807,0.01,0.059115630141305185,4.8980734658608664,4.994826635085531,-0.04125871223104844,-1.8992516751003732,1
5000,0.0,0.010000023776108067,0.020143426695983794,0.9586535547012748,4.916683328770918,-0.026131997216237844,-1.9196701243107483,100
5000,1.0,0.01,0.0,4.816864935877874,4.975057912294728,-0.08756273887229224,-1.743343551072383,1
5000,0.27350030328506786,0.01,0.0,0.4142689257633242,2.527372614285887,-0.024256777842881633,-1.9344816649976897,2
5000,0.0,0.01,1.3318555328249018,0.0,0.21483659570414065,-0.0077265550284564295,-1.9745691269655303,3
5000,0.9562986361933714,0.01,0.0,4.818214603833752,4.973312601986295,-0.04105466386177786,-1.8815615073977523,4
5000,0.6179778604164425,0.010000075343760769,0.04734433022828102,2.2696050619140924,3.787078646027564,-0.0410530930130278,-1.8983239180865021,5
5000,0.5359371031155971,0.01,0.0,0.6600857601458378,5.0,-0.030796132135580946,-1.912405014999238,6
5000,0.21593694660897544,0.01,0.0,1.8430986124058766,3.4304947511288555,-0.032832644023806014,-1.903169778607786,7
5000,0.8404953817858886,0.01,0.012955606591561104,4.98978091487513,4.743240898249425,-0.08043609216633708,-1.7574709729082243,1
5000,0.9391101616339639,0.01,0.0,5.0,4.439395858682449,-0.04355332304590039,-1.8688645649493487,11
5000,0.8579873774154653,0.01,0.0,3.7908935515438955,4.896315612282009,-0.07468243071791633,-1.7801245703880981,1
5000,0.0,0.01,1.8345296420671051,0.0826731718077753,2.322777769992803,-0.011778559267377597,-1.962912330443928,14
5000,0.08844514308697583,0.01,1.675639660809582,0.16162902108056004,4.905258875983844,-0.012926888303560658,-1.9605258492491904,9
5000,0.16304482490501918,0.01,1.9406097530407944,0.02335687928590301,5.0,-0.007693043854795956,-1.9749856598702498,10
5000,0.7944996981638996,0.010000000034813505,0.0,4.904520987861519,4.974750987882274,-0.08173931639853303,-1.7481274019009412,1
5000,0.9505114208342595,0.01,0.0,4.6716179004920075,5.0,-0.0684620499271953,-1.8140953021546284,1
5000,1.0,0.01,0.0,2.379810268175376,4.537956689934211,-0.037846271917547,-1.8897699868656865,19
5000,0.8160497764614854,0.01,9.162331149320093E-5,4.991211423810869,4.639642184397249,-0.06380866492933981,-1.821370410527157,1
5000,0.8927571417145772,0.01,0.0,4.774174616412595,4.880807266879344,-0.06703496556143725,-1.8061739776112458,3
5000,0.0,0.01000000001148131,2.1152691602115055,0.505548956763596,3.649553439709461,-0.011484093728865176,-1.9656912790101349,17
5000,0.0,0.01,0.0,0.4168764560809487,4.7010950864748215,-0.02236608776724985,-1.9328730950265942,21
5000,0.9147440704634557,0.01,0.0,4.985449533849578,4.788340102396241,-0.04992400977152067,-1.8515105364414737,16
5000,0.09708133237978263,0.01,0.0,2.8088599935110716,1.504976734362081,-0.018151809159955675,-1.9456688328318426,23
5000,0.5809370466226951,0.01,0.4916787761747133,4.3027610280209325,4.824886268725909,-0.039429228947248776,-1.881745717079517,45
5000,0.7801982836270022,0.01,0.0,4.8908304193912855,4.964946384076247,-0.05792150443484262,-1.8351124345751098,2
5000,0.8528695155518651,0.01,0.0,3.7245604983443332,5.0,-0.043000936549772814,-1.8736123109598508,36
5000,0.8096068163969056,0.01,0.042235250795881654,5.0,4.858805197734827,-0.04886998422903045,-1.8492921545938257,29
5000,0.01946046827502064,0.010000045150129595,1.4553817805043414,0.0,0.9062267608428632,-0.01043549336559541,-1.9677584329821904,33
5000,0.6814392165193023,0.01,0.0,5.0,4.898704270861092,-0.07456457859521971,-1.8067499420239166,1
5000,0.0,0.01,3.814434730396392,0.0,5.0,-0.009979718313502943,-1.9688784812718028,27
5000,0.0,0.010000023501146328,0.0,0.9480323176440786,4.887282823114169,-0.026087958211014783,-1.9215569190473072,49
5000,0.9467467674304106,0.01,0.05809390011315227,4.7484728579797775,4.984624695381246,-0.06259555551656498,-1.8245841667456497,2
5000,0.8053766439141183,0.01,0.0,4.91523472170492,4.967141330394062,-0.04626711329252771,-1.8628758461480315,22
5000,1.0,0.01,2.291555529526553,4.2690976567224235,4.996236661175416,-0.036334601606222594,-1.8925814106186742,61
